№ п.п,Дата,Время,№ скважины,Наименование проделанных работ,Ртр (кгс/см2),Рзтр (кгс/см2),Ршл (кгс/см2),tшл (°С),Qг (м3/час),Q жидкости накопленный (л),Рсеп (кгс/см2),tсеп (°С),Т накопленное замера (час),V газа накопленный (м3),Примечание,Кол-во пенобразователя,Наименование пенообразователя
1,06.10.2024,8:20,20,Монтаж и опрессовка оборудования,-,-,-,-,-,-,-,-,-,-,,,
2,06.10.2024,19:20,20,Замер устьевых параметров скважины,125.68,126.45,37.46,-,-,-,-,-,-,-,19:30 Пуск скважины в линию,,
3,06.10.2024,19:30,20,Замер устьевых параметров скважины,125.68,126.45,37.46,,,,,,,,,,
4,06.10.2024,19:32,20,Замер устьевых параметров скважины,61.8,122.62,61.8,-,,,,,,,19:40 Скважина закрыта в связи с пропуском РВД на сепараторе.,,
5,06.10.2024,19:40,20,Замер устьевых параметров скважины,67.2,122.15,67.2,-,,,,,,,,,
6,06.10.2024,20:05,20,Замер устьевых параметров скважины,92.12,120.98,38.02,-,,,,,,,,,
7,07.10.2024,8:20,20,Замер устьевых параметров скважины,"117,85","118,66","37,15",,,,,,,,,,
8,07.10.2024,9:32,20,Замер устьевых параметров скважины,"117,92","118,62","36,91",,,,,,,,Перевод скважины на работу в выкидную линию,,
9,07.10.2024,9:40,20,Замер устьевых параметров и Дебита скважины,"85,95","116,2","41,09",,,0,,,,,Работа скважины черезе сепаратор в выкидную линию,,
10,07.10.2024,9:56,20,Замер устьевых параметров скважины,"38,03","112,5","37,05",,,0,,,,,,,
11,07.10.2024,10:00,20,Вброс пенообразователя,"37,47","112,46","37,01",,380,0,,,,,До вброса вынос жидкости не отмечался,2,SF
12,07.10.2024,10:21,20,Замер устьевых параметров скважины,"38,9","111,38","37,01",,710,50,,,,,,,
13,07.10.2024,10:33,20,Замер устьевых параметров скважины,"52,45","109,96","37,39",,,1000,,,,,"Перевод скважины на работу в выкидную линию. Ориентировочно за 10 минут вынесено 1м3 жидкости (200 л конденсата, 800 л воды(",,
14,07.10.2024,10:41,20,Вброс пенообразователя,"38,58","108,54","37,06",,,,,,,,,2,C
15,07.10.2024,11:20,20,Замер устьевых параметров и Дебита скважины,"43,82","106,13","37,82",,,,,,,,Работа скважины черезе сепаратор в выкидную линию,,
16,07.10.2024,11:50,20,Вброс пенообразователя,"39,01","106,75","37,27",,,,,,,,12:00 вынос пены,1,SF
17,07.10.2024,12:25,20,Вброс пенообразователя,"40,82","106,31","37,26",,,,,,,,,1,SF
18,07.10.2024,12:31,20,Замер устьевых параметров скважины,"40,4","106,27","37,4",,,,,,,,Перевод скважины на работу в выкидную линию,,
19,07.10.2024,14:50,20,Замер устьевых параметров скважины,"43,82","106,87","38,23",,,,,,,,,,
20,07.10.2024,15:00,20,Замер устьевых параметров и Дебита скважины,"44,62","107,02","37,97",,785*,,,"30,67",,913,*Замер дебита при открытом сливе сепаратора. Отмечается постоянный вынос жидкости,,
21,07.10.2024,15:10,20,Вброс пенообразователя,"44,35","107,07","38,03",,,,,,,,,1,SF
22,07.10.2024,15:35,20,Вброс пенообразователя,"46,46","107,38","37,8",,1560,,,"31,38",,1150,,1,SF
23,07.10.2024,16:25,20,Вброс пенообразователя,"48,15","108,21","37,79",,,,,,,,Вброс в закрытую скважину в связи с постоянным обильным выносом жидкости,5,SF
24,07.10.2024,16:40,20,Замер устьевых параметров скважины,"60,22","110,41","37,39",,,,,,,,Запуск скважины в работу в выкидную линию,,
25,07.10.2024,16:45,20,Замер устьевых параметров скважины,"54,96","110,34","37,74",,996.8*,,,"31,78",3 142,1604,,,
26,07.10.2024,16:56,20,Замер устьевых параметров скважины,"47,3","110,02","37,84",,,,,,,,Вынос пены,,
27,07.10.2024,17:20,20,Замер устьевых параметров скважины,"49,25","109,96","37,69",,532*,,,"33,32",,1949,*Замер дебита при открытом сливе сепаратора. Отмечается постоянный вынос жидкости,,
28,07.10.2024,17:50,20,Замер устьевых параметров скважины,"51,93","110,23","37,95",,686*,,,"33,32","4,202",2220,*Замер дебита при открытом сливе сепаратора. Отмечается постоянный вынос жидкости,,
29,07.10.2024,18:10,20,Замер устьевых параметров скважины,"52,05","110,15","38,23",,,,,,,,Перевод скважины на работу в выкидную линию,,
30,07.10.2024,19:10,20,Замер устьевых параметров скважины,"54,45","111,12","38,52",,,,,,,,,,
31,07.10.2024,19:20,20,Замер устьевых параметров и Дебита скважины,"54,95","111,27","38,65",,850*,,,"28,05","4,514",2441,*Замер дебита при открытом сливе сепаратора. Отмечается постоянный вынос жидкости. Жидкость горячая. Слив с сепаратора на АЦН 18м3,,
32,07.10.2024,20:20,20,Замер устьевых параметров и Дебита скважины,"57,75","113,21","37,98",,765*,≈ 9000,,33,"5,498",3068,Перевод скважины на работу в выкидную линию. В АЦН за час вынесено ориентировочно 9м3 жидкости. Жидкость горячая,,
33,07.10.2024,20:45,20,Замер устьевых параметров скважины,"57,56","113,83","38,47",,,,,,,,,,
34,08.10.2024,0:00,20,Замер устьевых параметров скважины,"64,72","118,45","39,22",,,,,,,,,,